id,reason
adamite,arsenate hazard; do not complete with a partner
amazonite,lead-bearing; hazard inherited; not a medicine pair
auralite-23,trade assemblage; trade+trade refuse
bismuth,lab hopper metal; not a silicate lattice pair
blue-halite,soluble ingest-work refuse
bumblebee-jasper,arsenic realgar; hazard stack refuse
calligraphy-stone,trade carbonate title
cobaltoan-calcite,cobalt hazard; do not pair to cancel
dalmatian-stone,trade title
fairy-stone,trade title (staurolite or clay); not a grant pair
galena,lead sulfide; do not stack or complete
kambaba-jasper,trade+trade jasper title
leopardskin-jasper,trade+trade jasper title
mookaite-jasper,trade+trade jasper title
nuumite,trade rock title
picture-jasper,trade+trade jasper title
pink-halite,soluble ingest-work refuse
polychrome-jasper,trade+trade jasper title
prophecy-stone,trade title; not a seer grant
rhyolite,volcanic rock title; not one species
septarian,trade concretion title
shiva-lingam,sacred object is not a grant pair
sulfur,do not burn as work; no partner
super-seven,assemblage trade; not seven grants
tremolite,asbestiform; do not fiber-work
vanadinite,lead vanadate; do not ingest or dry-grind
wulfenite,lead molybdate; do not ingest or dry-grind
