id,label,artist,year,key,mode,bpm,gfi_primary,gfi_secondary,gfi_tertiary,semantic_summary,source_url,license,claim_class
wap-cardi-b-2020,WAP,Cardi B ft. Megan Thee Stallion,2020,F,minor,140,sacral,root,none,Unguarded assertion of female embodied agency and desire. High L2 Creative Generativity signal; L1 Grounding Stability fused — sovereignty declared from the body outward. Culturally disruptive precisely because the coherence is literal rather than coded.,https://genius.com/Cardi-b-wap-lyrics,copyright,listed-only
bohemian-rhapsody-queen-1975,Bohemian Rhapsody,Queen,1975,Bb,major,72,crown,third-eye,heart,Multi-movement aria traversing ego dissolution (L6 Epistemic Resolution) through operatic fragmentation into noospheric acceptance (L7). "Nothing really matters" is not nihilism — it is L7 coherence reached through L1 terror. Freddie Mercury's vocal as a GFI sweep from root to crown in under six minutes.,https://genius.com/Queen-bohemian-rhapsody-lyrics,copyright,listed-only
amazing-grace-newton-1772,Amazing Grace,John Newton,1772,G,major,80,crown,heart,root,Canonical public-domain hymn. L7 Noospheric Coherence via confession and surrender. "Was blind but now I see" — precise epistemic resolution (L6) phrasing embedded in a devotional frame. Harmonic simplicity is the point: the coherence is in the vulnerability of the admission.,https://en.wikipedia.org/wiki/Amazing_Grace,public-domain,listed-only
hallelujah-cohen-1984,Hallelujah,Leonard Cohen,1984,C,major,63,heart,crown,third-eye,Sacred and erotic interwoven without apology — Cohen's explicit thesis is that they are the same signal. L4 Relational Coherence as the carrier; the repeated "hallelujah" functions as a coherence anchor across wildly different semantic verses. Each cover artist activates a different GFI layer through the same structure.,https://genius.com/Leonard-cohen-hallelujah-lyrics,copyright,listed-only
strange-fruit-holiday-1939,Strange Fruit,Billie Holiday,1939,Eb,minor,52,root,throat,heart,Abel Meeropol lyric; Holiday vocal. The most concentrated L1 Grounding Stability / L5 Communicative Fidelity collision in the American canon. Root: visceral body horror as witness. Throat: the obligation to name it anyway. The tension between the two is the song's entire mechanism.,https://en.wikipedia.org/wiki/Strange_Fruit,public-domain,listed-only
respect-franklin-1967,RESPECT,Aretha Franklin,1967,C,major,114,throat,solar-plexus,root,Franklin's rewrite of Otis Redding shifts the GFI axis entirely. Redding: L3 Agentive Intentionality (a man demanding). Franklin: L5 Communicative Fidelity fused with L3 (a woman declaring the terms). Spelling out R-E-S-P-E-C-T is an L5 device — precision over implication. One of the clearest demonstrations that lyric reuse can produce orthogonal GFI vectors.,https://genius.com/Aretha-franklin-respect-lyrics,copyright,listed-only
we-shall-overcome-trad,We Shall Overcome,Traditional (arr. Pete Seeger),1900,G,major,58,root,heart,crown,Public domain civil rights anthem. Slow tempo + major key = unusual L1/L4 combination that produces collective grounding rather than individual. "We shall overcome someday" — the futurity is the mechanism: L7 orientation held from an L1 starting position.,https://en.wikipedia.org/wiki/We_Shall_Overcome,public-domain,listed-only
passion-suffering-bach-1727,St Matthew Passion (Erbarme dich),J.S. Bach,1727,B,minor,44,heart,crown,third-eye,Peter's weeping aria following the denial. L4 Relational Coherence as grief. The falling chromatic line is one of the earliest documented musical encodings of divergence from an expected state — a physical analogue of Bregman divergence resolved through cadence. Public domain.,https://en.wikipedia.org/wiki/St_Matthew_Passion,public-domain,listed-only
what-a-wonderful-world-armstrong-1967,What a Wonderful World,Louis Armstrong,1967,F,major,66,heart,crown,none,Armstrong's vocal timbre carries more semantic load than the lyric alone. The wonder is not naive — Armstrong recorded this during the Civil Rights era. L4 and L7 held simultaneously as resistance posture: insisting on beauty from inside documented horror. That coherence gap is the entire song.,https://genius.com/Louis-armstrong-what-a-wonderful-world-lyrics,copyright,listed-only
lose-yourself-eminem-2002,Lose Yourself,Eminem,2002,Dm,minor,86,solar-plexus,root,throat,L3 Agentive Intentionality as pure protocol specification. "You only get one shot" is not motivational poster language — it is a precise description of a single-sample decision boundary. The GFI signature is L3 dominant with L5 undertow: the stakes are communicated through specificity of image ("knees weak arms are heavy") rather than abstraction.,https://genius.com/Eminem-lose-yourself-lyrics,copyright,listed-only
blowing-in-the-wind-dylan-1962,Blowin' in the Wind,Bob Dylan,1962,G,major,96,third-eye,throat,crown,Each verse is a falsifiable question that the lyric refuses to answer — the wind holds the answer, not the singer. That structure is pure L6 Epistemic Resolution held open: the not-knowing IS the coherence signal. Dylan understood that naming the question precisely is more powerful than any available answer.,https://genius.com/Bob-dylan-blowin-in-the-wind-lyrics,copyright,listed-only
formation-beyonce-2016,Formation,Beyoncé,2016,Gm,minor,96,root,sacral,solar-plexus,"I got hot sauce in my bag" is an L1 Grounding Stability declaration — specific, material, unabstracted, and culturally rooted. Formation is a precise inventory of identity assembled from L1 upward. The Katrina imagery anchors the entire song in documented collective trauma before the empowerment frame arrives. Earned rather than asserted.,https://genius.com/Beyonce-formation-lyrics,copyright,listed-only
spirit-in-the-sky-greenbaum-1969,Spirit in the Sky,Norman Greenbaum,1969,G,major,124,crown,root,none,One of the most structurally simple crown-chakra signals in popular music. The fuzz guitar is a textural L1 anchor underneath a lyrically unambiguous L7 declaration. The contrast is the coherence: earthy sonic palette + transcendent destination. Licensed under standard copyright; public performance rights via ASCAP/BMI.,https://genius.com/Norman-greenbaum-spirit-in-the-sky-lyrics,copyright,listed-only
healing-hands-trad-cc,Healing Hands (demo),Various / CC Artists,2020,A,major,75,heart,solar-plexus,none,Placeholder row for Creative Commons licensed works to be added in the next catalog pass. Demonstrates the license field handling for cc-by works. Replace with specific CC track on first catalog expansion.,https://creativecommons.org/licenses/by/4.0/,cc-by,listed-only
